"pba-14v-2"
"Wavelength nm.","Abs."
475.40,0.114
475.60,0.113
475.80,0.113
476.00,0.112
476.20,0.112
476.40,0.111
476.60,0.111
476.80,0.110
477.00,0.110
477.20,0.110
477.40,0.109
477.60,0.109
477.80,0.109
478.00,0.108
478.20,0.108
478.40,0.107
478.60,0.107
478.80,0.107
479.00,0.106
479.20,0.106
479.40,0.105
479.60,0.105
479.80,0.105
480.00,0.104
480.20,0.104
480.40,0.103
480.60,0.103
480.80,0.102
481.00,0.102
481.20,0.101
481.40,0.101
481.60,0.101
481.80,0.100
482.00,0.100
482.20,0.099
482.40,0.099
482.60,0.098
482.80,0.098
483.00,0.097
483.20,0.096
483.40,0.096
483.60,0.095
483.80,0.095
484.00,0.094
484.20,0.094
484.40,0.093
484.60,0.093
484.80,0.092
485.00,0.091
485.20,0.091
485.40,0.091
485.60,0.090
485.80,0.089
486.00,0.089
486.20,0.088
486.40,0.088
486.60,0.087
486.80,0.087
487.00,0.086
487.20,0.085
487.40,0.085
487.60,0.084
487.80,0.084
488.00,0.083
488.20,0.082
488.40,0.082
488.60,0.081
488.80,0.081
489.00,0.080
489.20,0.080
489.40,0.079
489.60,0.079
489.80,0.078
490.00,0.078
490.20,0.077
490.40,0.076
490.60,0.076
490.80,0.075
491.00,0.075
491.20,0.074
491.40,0.074
491.60,0.073
491.80,0.072
492.00,0.072
492.20,0.071
492.40,0.070
492.60,0.070
492.80,0.069
493.00,0.069
493.20,0.068
493.40,0.067
493.60,0.067
493.80,0.066
494.00,0.066
494.20,0.065
494.40,0.064
494.60,0.064
494.80,0.063
495.00,0.063
495.20,0.062
495.40,0.062
495.60,0.061
495.80,0.061
496.00,0.060
496.20,0.060
496.40,0.059
496.60,0.058
496.80,0.058
497.00,0.057
497.20,0.057
497.40,0.056
497.60,0.056
497.80,0.055
498.00,0.055
498.20,0.054
498.40,0.054
498.60,0.053
498.80,0.052
499.00,0.052
499.20,0.051
499.40,0.051
499.60,0.050
499.80,0.050
500.00,0.049
500.20,0.049
500.40,0.048
500.60,0.048
500.80,0.047
501.00,0.047
501.20,0.046
501.40,0.046
501.60,0.045
501.80,0.045
502.00,0.044
502.20,0.044
502.40,0.043
502.60,0.043
502.80,0.042
503.00,0.042
503.20,0.042
503.40,0.041
503.60,0.041
503.80,0.040
504.00,0.040
504.20,0.039
504.40,0.039
504.60,0.038
504.80,0.038
505.00,0.038
505.20,0.037
505.40,0.037
505.60,0.036
505.80,0.036
506.00,0.035
506.20,0.035
506.40,0.035
506.60,0.034
506.80,0.034
507.00,0.033
507.20,0.033
507.40,0.033
507.60,0.032
507.80,0.032
508.00,0.032
508.20,0.031
508.40,0.031
508.60,0.030
508.80,0.030
509.00,0.030
509.20,0.030
509.40,0.029
509.60,0.029
509.80,0.029
510.00,0.028
510.20,0.028
510.40,0.028
510.60,0.027
510.80,0.027
511.00,0.027
511.20,0.026
511.40,0.026
511.60,0.026
511.80,0.025
512.00,0.025
512.20,0.025
512.40,0.025
512.60,0.024
512.80,0.024
513.00,0.024
513.20,0.024
513.40,0.023
513.60,0.023
513.80,0.023
514.00,0.023
514.20,0.022
514.40,0.022
514.60,0.022
514.80,0.022
515.00,0.021
515.20,0.021
515.40,0.021
515.60,0.021
515.80,0.021
516.00,0.020
516.20,0.020
516.40,0.020
516.60,0.020
516.80,0.020
517.00,0.019
517.20,0.019
517.40,0.019
517.60,0.019
517.80,0.019
518.00,0.018
518.20,0.018
518.40,0.018
518.60,0.018
518.80,0.018
519.00,0.018
519.20,0.017
519.40,0.017
519.60,0.017
519.80,0.017
520.00,0.017
520.20,0.017
520.40,0.016
520.60,0.016
520.80,0.016
521.00,0.016
521.20,0.016
521.40,0.016
521.60,0.016
521.80,0.015
522.00,0.015
522.20,0.015
522.40,0.015
522.60,0.015
522.80,0.015
523.00,0.014
523.20,0.014
523.40,0.014
523.60,0.014
523.80,0.014
524.00,0.014
524.20,0.014
524.40,0.014
524.60,0.014
524.80,0.013
525.00,0.013
525.20,0.013
525.40,0.013
525.60,0.013
525.80,0.013
526.00,0.013
526.20,0.013
526.40,0.013
526.60,0.013
526.80,0.013
527.00,0.013
527.20,0.013
527.40,0.013
527.60,0.012
527.80,0.012
528.00,0.012
528.20,0.012
528.40,0.012
528.60,0.012
528.80,0.012
529.00,0.012
529.20,0.012
529.40,0.012
529.60,0.012
529.80,0.012
530.00,0.012
530.20,0.012
530.40,0.011
530.60,0.012
530.80,0.012
531.00,0.011
531.20,0.011
531.40,0.012
531.60,0.012
531.80,0.012
532.00,0.011
532.20,0.011
532.40,0.011
532.60,0.011
532.80,0.011
533.00,0.011
533.20,0.011
533.40,0.011
533.60,0.011
533.80,0.011
534.00,0.010
534.20,0.010
534.40,0.010
534.60,0.010
534.80,0.010
535.00,0.010
535.20,0.010
535.40,0.010
535.60,0.010
535.80,0.010
536.00,0.010
536.20,0.010
536.40,0.010
536.60,0.010
